Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
MAT0039,ALGEBRA LINEAR,,1,1,0,0,0,0,0,0,1,1
CIC0004,ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES,,5,38,3,5,0,2,0,0,1,11
MAT0045,ANALISE 1,,1,1,0,0,0,0,0,0,1,1
CEM0136,A ORIGEM DA VIDA,,1,1,0,0,0,0,0,0,0,0
FGA0083,APRENDIZADO DE MÁQUINA,,1,58,0,2,0,1,0,0,6,9
CEM0023,APRENDIZAGEM E DESENVOLVIMENTO MOTOR HUMANO 2,,1,1,0,0,0,0,0,0,0,0
FGA0208,ARQUITETURA E DESENHO DE SOFTWARE,,2,148,3,3,0,3,0,0,6,15
COM0213,AVALIAÇÃO EM PROJETOS DE COMUNICAÇÃO,,1,1,0,0,0,0,0,0,0,0
MAT0025,CÁLCULO 1,,5,45,4,14,0,2,0,0,6,26
MAT0137,CÁLCULO 1 - SEMIPRESENCIAL,,4,6,2,2,0,0,0,0,0,4
MAT0026,CÁLCULO 2,,10,167,8,32,0,1,0,0,11,52
MAT0027,CÁLCULO 3,,6,33,1,1,0,2,0,0,4,8
ADM0192,CALCULO FINANCEIRO,,2,2,0,0,0,0,0,0,1,1
MAT0053,CALCULO NUMERICO,,2,3,1,1,0,0,0,0,1,3
FGA0254,CIÊNCIAS AEROESPACIAIS,,1,2,0,1,0,0,0,0,0,1
FGA0003,COMPILADORES 1,,3,312,11,30,0,2,0,0,28,71
EST0001,COMPUTAÇÃO EM ESTATÍSTICA 1,,1,2,1,1,0,0,0,0,0,2
CEM0084,CULTURA E PAZ,,1,1,0,0,0,0,0,0,1,1
FGA0168,DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,,5,32,1,12,0,2,0,0,9,24
ENC0053,DESENHO TECNICO,,1,1,0,0,0,0,0,0,1,1
FGA0174,DESENVOLVIMENTO SUSTENTÁVEL,,1,5,0,0,0,0,0,0,2,2
FGA0265,ECONOMIA DE ENERGIA,,1,32,0,0,0,0,0,0,10,10
FGA0166,ELEMENTOS E MÉTODOS EM ELETRÔNICA,,1,6,0,2,0,0,0,0,1,3
FGA0308,ELETRÔNICA EMBARCADA,,1,1,0,0,0,0,0,0,1,1
IQD0451,EMPREENDEDORISMO TECNOLÓGICO: PRINCÍPIOS E ESTRATÉGIAS PARA CRIAÇÃO SPIN-OFFS DEEPTECHS,,1,3,0,0,0,0,0,0,0,0
FGA0316,ENGENHARIA DE PRODUTO DE SOFTWARE,,2,63,0,1,0,0,0,0,0,1
FGA0148,ENGENHARIA DE SEGURANÇA DO TRABALHO,,2,97,4,0,0,7,0,0,17,28
FGA0131,ENGENHARIA DE SOFTWARE AUTOMOTIVO,,1,3,0,1,0,0,0,0,2,3
FGA0302,ENGENHARIA E AMBIENTE,,3,43,4,3,0,2,0,0,5,14
FGA0133,ENGENHARIA ECONÔMICA,,2,175,1,21,0,0,0,0,7,29
EST0019,ESTATÍSTICA APLICADA,,1,1,0,0,0,0,0,0,0,0
EST0033,ESTATÍSTICA EXPLORATÓRIA,,1,2,1,1,0,0,0,0,0,2
CIC0090,ESTRUTURAS DE DADOS,,4,24,1,1,0,2,0,0,2,6
FGA0146,ESTRUTURAS DE DADOS 1,,2,215,4,42,0,16,0,0,15,77
FGA0030,ESTRUTURAS DE DADOS 2,,1,126,3,23,0,10,0,0,34,70
FGA0320,FELICIDADE,,1,82,8,7,0,0,0,0,4,19
ENM0080,FENOMENOS DE TRANSPORTE,,1,1,0,1,0,0,0,0,0,1
FIL0180,FILOSOFIA ANTIGA,,1,1,0,0,0,0,0,0,0,0
IFD0171,FISICA 1,,12,84,7,11,0,7,0,0,17,42
IFD0173,FISICA 1 EXPERIMENTAL,,16,77,2,1,0,2,0,0,9,14
IFD0175,FISICA 2,,1,1,0,1,0,0,0,0,0,1
IFD0177,FISICA 2 EXPERIMENTAL,,3,3,0,0,0,1,0,0,0,1
IFD0006,FÍSICA EXPERIMENTAL PARA CIÊNCIAS AGRÁRIAS,,1,1,0,0,0,0,0,0,0,0
FGA0169,FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO,,1,19,0,1,0,0,0,0,0,1
FGA0142,FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,,2,196,3,39,0,36,0,0,17,95
FGA0006,FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA,,1,4,0,1,0,0,0,0,1,2
FGA0211,FUNDAMENTOS DE REDES DE COMPUTADORES,,2,150,3,6,0,0,0,0,2,11
FGA0109,FUNDAMENTOS DE SISTEMAS EMBARCADOS,,1,80,4,9,0,0,0,0,4,17
FGA0170,FUNDAMENTOS DE SISTEMAS OPERACIONAIS,,1,130,0,11,0,1,0,0,4,16
FCTE0001,FUNDAMENTOS LÓGICOS DE INTELIGÊNCIA ARTIFICIAL,,1,37,1,1,0,0,0,0,21,23
IFD0011,FUNDAMENTOS MATEMÁTICOS DA FÍSICA A,,1,1,0,0,0,1,0,0,0,1
