Código;Nome;Turmas;Discentes;Cancelamentos;Reprovações Média;Reprovações Nota;Reprovações Falta;Reprovações Média e Falta;Reprovações Nota e Falta;Trancamentos;Total Insucesso;Semestre;Departamento;Curso
ADM0014;ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL;1;1;0;0;0;0;0;0;0;0;2023-2;ADM;Software
FGA0038;AERODINÂMICA DE SISTEMAS AEROESPACIAIS;1;1;0;0;0;0;0;0;1;1;2023-2;FGA;Software
FUP0545;AGRICULTURA E MEIO AMBIENTE;1;1;0;1;0;0;0;0;0;1;2023-2;FUP;Software
FUP0161;AGROECOLOGIA;1;1;0;0;0;1;0;0;0;1;2023-2;FUP;Software
MAT0039;ALGEBRA LINEAR;1;1;0;0;0;0;0;0;0;0;2023-2;MAT;Software
CIC0004;ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES;6;249;2;71;0;26;0;0;19;118;2023-2;CIC;Software
FGA0083;APRENDIZADO DE MÁQUINA;1;35;3;2;0;3;0;0;15;23;2023-2;FGA;Software
FGA0208;ARQUITETURA E DESENHO DE SOFTWARE;1;80;1;2;0;2;0;0;0;5;2023-2;FGA;Software
FDD0258;ATUALIZAÇÃO E PRÁTICA DO DIREITO 5;1;1;0;0;0;0;0;0;1;1;2023-2;FDD;Software
FUP0561;AUDITORIA, PERÍCIA E CERTIFICAÇÃO AMBIENTAL;1;1;0;1;0;0;0;0;0;1;2023-2;FUP;Software
CIC0097;BANCOS DE DADOS;1;1;0;0;0;0;0;0;0;0;2023-2;CIC;Software
MAT0025;CÁLCULO 1;8;306;5;103;0;29;0;0;12;149;2023-2;MAT;Software
MAT0137;CÁLCULO 1 - SEMIPRESENCIAL;4;5;1;1;0;1;0;0;1;4;2023-2;MAT;Software
MAT0026;CÁLCULO 2;13;151;7;36;0;2;0;0;23;68;2023-2;MAT;Software
MAT0027;CÁLCULO 3;2;5;0;1;0;0;0;0;0;1;2023-2;MAT;Software
ADM0192;CALCULO FINANCEIRO;1;1;0;0;0;0;0;0;0;0;2023-2;ADM;Software
MUS0139;CANTO CORAL 1;1;1;0;0;0;0;0;0;0;0;2023-2;MUS;Software
MUS0142;CANTO CORAL 2;1;1;1;0;0;0;0;0;0;1;2023-2;MUS;Software
FGA0254;CIÊNCIAS AEROESPACIAIS;1;1;0;0;0;0;0;0;0;0;2023-2;FGA;Software
